,date,ticker,data.open,data.high,data.low,data.close,data.volume,data.is_extended_hours
934,2021-10-29T15:00:00.000Z,AAPL,149.16,149.93,148.98,149.81,363563,False
935,2021-10-29T14:00:00.000Z,AAPL,148.68,149.3,148.56,149.15,95715,False
936,2021-10-29T13:00:00.000Z,AAPL,149.39,149.5,148.62,148.68,120451,False
937,2021-10-29T12:00:00.000Z,AAPL,148.36,149.5,148.29,149.37,165295,False
938,2021-10-29T11:00:00.000Z,AAPL,147.28,148.63,147.02,148.35,218590,False
939,2021-10-29T10:00:00.000Z,AAPL,147.12,147.82,146.93,147.26,387688,False
940,2021-10-29T09:00:00.000Z,AAPL,147.18,148.7,146.44,147.17,355545,False
941,2021-10-28T15:00:00.000Z,AAPL,152.6,152.67,152.18,152.47,251479,False
942,2021-10-28T14:00:00.000Z,AAPL,152.51,152.89,152.46,152.62,219465,False
943,2021-10-28T13:00:00.000Z,AAPL,152.23,152.7,152.15,152.49,122599,False
944,2021-10-28T12:00:00.000Z,AAPL,152.65,152.84,151.98,152.18,181679,False
945,2021-10-28T11:00:00.000Z,AAPL,152.57,153.16,152.32,152.62,264277,False
946,2021-10-28T10:00:00.000Z,AAPL,152.06,152.92,151.71,152.55,354236,False
947,2021-10-28T09:00:00.000Z,AAPL,149.83,152.1,149.77,152.0,141838,False
948,2021-10-27T15:00:00.000Z,AAPL,149.46,149.55,148.84,148.85,223112,False
949,2021-10-27T14:00:00.000Z,AAPL,149.59,149.73,149.47,149.49,134138,False
950,2021-10-27T13:00:00.000Z,AAPL,149.44,149.72,149.4,149.58,101029,False
951,2021-10-27T12:00:00.000Z,AAPL,149.19,149.51,149.18,149.43,78186,False
952,2021-10-27T11:00:00.000Z,AAPL,148.79,149.51,148.71,149.16,92315,False
953,2021-10-27T10:00:00.000Z,AAPL,149.39,149.41,148.51,148.81,97749,False
954,2021-10-27T09:00:00.000Z,AAPL,149.35,149.66,148.51,149.4,88209,False
955,2021-10-26T15:00:00.000Z,AAPL,149.37,149.83,149.25,149.29,140696,False
956,2021-10-26T14:00:00.000Z,AAPL,149.62,149.71,149.13,149.37,81221,False
957,2021-10-26T13:00:00.000Z,AAPL,149.45,149.89,149.3,149.61,63800,False
958,2021-10-26T12:00:00.000Z,AAPL,149.64,149.85,149.22,149.47,93610,False
959,2021-10-26T11:00:00.000Z,AAPL,149.39,150.03,149.39,149.62,119249,False
960,2021-10-26T10:00:00.000Z,AAPL,149.63,149.89,149.03,149.36,154510,False
961,2021-10-26T09:00:00.000Z,AAPL,149.33,150.83,149.19,149.64,121081,False
962,2021-10-25T15:00:00.000Z,AAPL,148.69,148.78,148.43,148.64,206292,False
963,2021-10-25T14:00:00.000Z,AAPL,148.78,148.96,148.64,148.7,100398,False
964,2021-10-25T13:00:00.000Z,AAPL,149.0,149.08,148.71,148.81,71038,False
965,2021-10-25T12:00:00.000Z,AAPL,148.51,149.08,148.49,148.97,85039,False
966,2021-10-25T11:00:00.000Z,AAPL,148.05,148.5,147.83,148.5,123904,False
967,2021-10-25T10:00:00.000Z,AAPL,148.35,148.43,147.66,148.07,219137,False
968,2021-10-25T09:00:00.000Z,AAPL,148.72,149.37,147.95,148.36,150528,False
969,2021-10-22T15:00:00.000Z,AAPL,149.11,149.18,148.66,148.69,182754,False
970,2021-10-22T14:00:00.000Z,AAPL,148.94,149.66,148.9,149.12,77369,False
971,2021-10-22T13:00:00.000Z,AAPL,149.13,149.29,148.92,148.95,45467,False
972,2021-10-22T12:00:00.000Z,AAPL,148.92,149.48,148.81,149.1,57797,False
973,2021-10-22T11:00:00.000Z,AAPL,149.56,149.62,148.69,148.94,132976,False
974,2021-10-22T10:00:00.000Z,AAPL,149.88,150.16,149.33,149.56,116842,False
975,2021-10-22T09:00:00.000Z,AAPL,149.65,150.17,148.86,149.87,243942,False
976,2021-10-21T15:00:00.000Z,AAPL,149.06,149.64,149.06,149.51,199244,False
977,2021-10-21T14:00:00.000Z,AAPL,148.47,149.1,148.38,149.03,70208,False
978,2021-10-21T13:00:00.000Z,AAPL,148.56,148.6,148.38,148.46,48378,False
979,2021-10-21T12:00:00.000Z,AAPL,149.28,149.41,147.88,148.57,154908,False
980,2021-10-21T11:00:00.000Z,AAPL,149.32,149.51,149.11,149.28,70240,False
981,2021-10-21T10:00:00.000Z,AAPL,149.36,149.56,149.09,149.31,116567,False
982,2021-10-21T09:00:00.000Z,AAPL,148.81,149.6,148.78,149.38,112298,False
983,2021-10-20T16:00:00.000Z,AAPL,149.35,149.35,149.35,149.35,91,False
984,2021-10-20T15:00:00.000Z,AAPL,148.82,149.37,148.76,149.34,168247,False
985,2021-10-20T14:00:00.000Z,AAPL,148.49,148.86,148.46,148.8,62052,False
986,2021-10-20T13:00:00.000Z,AAPL,149.22,149.25,148.15,148.49,62279,False
987,2021-10-20T12:00:00.000Z,AAPL,149.68,149.69,149.04,149.19,61216,False
988,2021-10-20T11:00:00.000Z,AAPL,149.23,149.73,149.07,149.68,98281,False
989,2021-10-20T10:00:00.000Z,AAPL,149.0,149.48,148.72,149.22,118882,False
990,2021-10-20T09:00:00.000Z,AAPL,148.75,149.73,148.74,149.0,146539,False
991,2021-10-19T15:00:00.000Z,AAPL,148.65,148.83,148.27,148.76,155749,False
992,2021-10-19T14:00:00.000Z,AAPL,148.85,148.87,148.35,148.68,62036,False
993,2021-10-19T13:00:00.000Z,AAPL,148.87,149.03,148.73,148.85,98631,False
994,2021-10-19T12:00:00.000Z,AAPL,148.52,148.92,148.38,148.87,81341,False
995,2021-10-19T11:00:00.000Z,AAPL,148.93,149.16,148.23,148.52,117453,False
996,2021-10-19T10:00:00.000Z,AAPL,147.8,149.03,147.65,148.93,222627,False
997,2021-10-19T09:00:00.000Z,AAPL,147.01,147.89,146.55,147.77,149107,False
998,2021-10-18T15:00:00.000Z,AAPL,146.31,146.84,146.25,146.58,329307,False
999,2021-10-18T14:00:00.000Z,AAPL,145.89,146.39,145.72,146.33,125305,False
1000,2021-10-18T13:00:00.000Z,AAPL,145.25,146.04,144.96,145.88,113048,False
1001,2021-10-18T12:00:00.000Z,AAPL,145.41,145.48,145.08,145.23,81317,False
1002,2021-10-18T11:00:00.000Z,AAPL,144.83,145.51,144.83,145.4,88554,False
1003,2021-10-18T10:00:00.000Z,AAPL,144.32,144.88,144.18,144.83,119518,False
1004,2021-10-18T09:00:00.000Z,AAPL,143.45,144.46,143.18,144.3,115459,False
1005,2021-10-15T15:00:00.000Z,AAPL,144.63,144.89,144.31,144.77,301720,False
1006,2021-10-15T14:00:00.000Z,AAPL,144.41,144.66,144.38,144.64,74776,False
1007,2021-10-15T13:00:00.000Z,AAPL,144.23,144.5,144.05,144.41,74293,False
1008,2021-10-15T12:00:00.000Z,AAPL,143.73,144.26,143.67,144.22,143342,False
1009,2021-10-15T11:00:00.000Z,AAPL,144.37,144.43,143.68,143.74,137645,False
1010,2021-10-15T10:00:00.000Z,AAPL,144.34,144.37,143.81,144.36,164705,False
1011,2021-10-15T09:00:00.000Z,AAPL,143.99,144.68,143.53,144.33,120859,False
1012,2021-10-14T15:00:00.000Z,AAPL,143.85,143.85,143.35,143.7,203329,False
1013,2021-10-14T14:00:00.000Z,AAPL,143.59,143.88,143.45,143.86,96094,False
1014,2021-10-14T13:00:00.000Z,AAPL,143.51,143.63,143.33,143.59,69603,False
1015,2021-10-14T12:00:00.000Z,AAPL,143.19,143.53,143.19,143.52,82770,False
1016,2021-10-14T11:00:00.000Z,AAPL,142.86,143.21,142.65,143.19,115002,False
1017,2021-10-14T10:00:00.000Z,AAPL,142.78,143.27,142.71,142.84,161548,False
1018,2021-10-14T09:00:00.000Z,AAPL,142.18,142.86,141.53,142.78,202740,False
1019,2021-10-13T15:00:00.000Z,AAPL,140.38,141.03,140.28,140.93,292968,False
1020,2021-10-13T14:00:00.000Z,AAPL,140.42,140.94,140.19,140.38,119368,False
1021,2021-10-13T13:00:00.000Z,AAPL,140.01,140.68,140.01,140.45,88492,False
1022,2021-10-13T12:00:00.000Z,AAPL,140.13,140.13,139.8,140.04,82523,False
1023,2021-10-13T11:00:00.000Z,AAPL,139.81,140.13,139.21,140.12,137131,False
1024,2021-10-13T10:00:00.000Z,AAPL,139.78,140.18,139.52,139.8,176137,False
1025,2021-10-13T09:00:00.000Z,AAPL,141.21,141.39,139.57,139.77,298301,False
1026,2021-10-12T16:00:00.000Z,AAPL,141.46,141.46,141.46,141.46,300,False
1027,2021-10-12T15:00:00.000Z,AAPL,141.96,142.01,141.06,141.44,218909,False
1028,2021-10-12T14:00:00.000Z,AAPL,141.89,142.48,141.83,141.99,72577,False
1029,2021-10-12T13:00:00.000Z,AAPL,141.84,142.11,141.63,141.88,45836,False
1030,2021-10-12T12:00:00.000Z,AAPL,142.32,142.98,141.81,141.86,166956,False
1031,2021-10-12T11:00:00.000Z,AAPL,141.55,142.31,141.55,142.29,77399,False
1032,2021-10-12T10:00:00.000Z,AAPL,141.89,142.28,141.46,141.51,108210,False
1033,2021-10-12T09:00:00.000Z,AAPL,143.23,143.23,141.9,141.9,105024,False
1034,2021-10-11T15:00:00.000Z,AAPL,143.41,143.53,142.77,142.8,135783,False
1035,2021-10-11T14:00:00.000Z,AAPL,143.58,143.82,143.26,143.43,54355,False
1036,2021-10-11T13:00:00.000Z,AAPL,144.03,144.03,143.39,143.58,63433,False
1037,2021-10-11T12:00:00.000Z,AAPL,144.43,144.43,143.87,144.06,55166,False
1038,2021-10-11T11:00:00.000Z,AAPL,144.46,144.7,144.35,144.41,110895,False
1039,2021-10-11T10:00:00.000Z,AAPL,143.97,144.81,143.95,144.45,132733,False
1040,2021-10-11T09:00:00.000Z,AAPL,142.27,143.98,141.83,143.89,106944,False
1041,2021-10-08T16:00:00.000Z,AAPL,143.0,143.0,143.0,143.0,325,False
1042,2021-10-08T15:00:00.000Z,AAPL,143.08,143.33,142.8,142.94,194993,False
1043,2021-10-08T14:00:00.000Z,AAPL,142.87,143.39,142.84,143.08,82747,False
1044,2021-10-08T13:00:00.000Z,AAPL,142.97,143.05,142.56,142.86,69623,False
1045,2021-10-08T12:00:00.000Z,AAPL,143.01,143.25,142.81,142.98,79862,False
1046,2021-10-08T11:00:00.000Z,AAPL,143.3,143.47,142.96,143.02,65365,False
1047,2021-10-08T10:00:00.000Z,AAPL,143.21,143.94,143.08,143.29,87898,False
1048,2021-10-08T09:00:00.000Z,AAPL,144.03,144.17,143.08,143.22,115996,False
1049,2021-10-07T16:00:00.000Z,AAPL,143.29,143.29,143.29,143.29,457,False
1050,2021-10-07T15:00:00.000Z,AAPL,143.54,143.84,143.0,143.23,162360,False
